round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7801780897140502,0.3586,134.87654732199735,0.022511999999999994,14070000,14070000,6
2,,,1.5182065013885497,0.4502,134.84840249098488,0.022511999999999994,14070000,14070000,6
3,,,1.3963995323181153,0.4989,134.87320937699405,0.022511999999999994,14070000,14070000,6
4,,,1.3076700630187987,0.5328,134.81648012300138,0.022511999999999994,14070000,14070000,6
5,,,1.2210908237457276,0.568,134.64735363100772,0.022511999999999994,14070000,14070000,6
6,,,1.1612545793533324,0.588,133.0271898219944,0.022511999999999994,14070000,14070000,6
7,,,1.0892546722412109,0.6218,131.90067120399908,0.022511999999999994,14070000,14070000,6
8,,,1.015214210510254,0.6438,132.55038660598802,0.022511999999999994,14070000,14070000,6
9,,,0.9717559787750244,0.6553,132.79234801701386,0.022511999999999994,14070000,14070000,6
10,,,0.9479709896087647,0.6668,132.73041430299054,0.022511999999999994,14070000,14070000,6
