round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.5556776933670045,0.4629,,0.0,14070000,14070000,6
2,,,1.3363396327972412,0.5233,,0.0,14070000,14070000,6
3,,,1.2239685634613038,0.5677,,0.0,14070000,14070000,6
4,,,1.154700284576416,0.596,,0.0,14070000,14070000,6
5,,,1.0633868148803711,0.63,,0.0,14070000,14070000,6
6,,,1.0272373418807983,0.639,,0.0,14070000,14070000,6
7,,,0.96123108959198,0.6646,,0.0,14070000,14070000,6
8,,,0.9448089256286621,0.6733,,0.0,14070000,14070000,6
9,,,0.8856057949066162,0.6953,,0.0,14070000,14070000,6
10,,,0.8486735249519348,0.7075,,0.0,14070000,14070000,6
