round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7532727632522582,0.3788,,,14070000,14070000,6
2,,,1.4988255228042602,0.457,,,14070000,14070000,6
3,,,1.3876694089889527,0.501,,,14070000,14070000,6
4,,,1.300227355003357,0.5331,,,14070000,14070000,6
5,,,1.2066356283187867,0.5759,,,14070000,14070000,6
6,,,1.127919351196289,0.6028,,,14070000,14070000,6
7,,,1.0671356399536134,0.6235,,,14070000,14070000,6
8,,,1.0043997966766358,0.6444,,,14070000,14070000,6
9,,,0.9507371335983277,0.6682,,,14070000,14070000,6
10,,,0.9093582180023193,0.686,,,14070000,14070000,6
