round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7367769470214844,0.3793,131.47254889900069,0.022511999999999994,14070000,14070000,6
2,,,1.4994212127685547,0.4622,128.3309346140013,0.022511999999999994,14070000,14070000,6
3,,,1.3721618377685547,0.5049,127.45460856799764,0.022511999999999994,14070000,14070000,6
4,,,1.2913416673660278,0.5379,127.88499564099766,0.022511999999999994,14070000,14070000,6
5,,,1.2013404638290406,0.5723,127.19785922799929,0.022511999999999994,14070000,14070000,6
6,,,1.143420778274536,0.5936,126.94458968300023,0.022511999999999994,14070000,14070000,6
7,,,1.0721314123153687,0.6268,128.5655316919947,0.022511999999999994,14070000,14070000,6
8,,,1.0178399874687194,0.6388,129.26480502400227,0.022511999999999994,14070000,14070000,6
9,,,0.9451371464729309,0.6684,127.23952312299662,0.022511999999999994,14070000,14070000,6
10,,,0.9163077909469605,0.6785,128.27291720300127,0.022511999999999994,14070000,14070000,6
