round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07679819814264774,0.9758,169.36704794497928,0.06387340799999998,39920880,39920880,6
2,,,0.04491693467870354,0.9849,169.2463340559916,0.06387340799999998,39920880,39920880,6
3,,,0.03470120060117915,0.9879,169.50463700600085,0.06387340799999998,39920880,39920880,6
4,,,0.02741191784669645,0.9898,167.83221636799863,0.06387340799999998,39920880,39920880,6
5,,,0.02636303300186992,0.9906,168.74653036298696,0.06387340799999998,39920880,39920880,6
6,,,0.024134864858479706,0.9911,168.77293270200607,0.06387340799999998,39920880,39920880,6
7,,,0.022497327957767994,0.9918,167.69924220599933,0.06387340799999998,39920880,39920880,6
8,,,0.021476323434745426,0.992,167.58271570701618,0.06387340799999998,39920880,39920880,6
9,,,0.020746057446213672,0.9924,167.13350573199568,0.06387340799999998,39920880,39920880,6
10,,,0.020786961114488075,0.9922,168.4008668650058,0.06387340799999998,39920880,39920880,6
