round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.08374635207373649,0.9744,,,39920880,39920880,6
2,,,0.04815547334632138,0.9838,,,39920880,39920880,6
3,,,0.03804139514201088,0.9872,,,39920880,39920880,6
4,,,0.03237260571426596,0.9893,,,39920880,39920880,6
5,,,0.0287446788893285,0.9909,,,39920880,39920880,6
6,,,0.026235952497442486,0.9914,,,39920880,39920880,6
7,,,0.024920854313659948,0.9921,,,39920880,39920880,6
8,,,0.024103832998861617,0.9923,,,39920880,39920880,6
9,,,0.023838491068428995,0.9923,,,39920880,39920880,6
10,,,0.022968634064715297,0.9922,,,39920880,39920880,6
