round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.0781200384259224,0.9761,168.22700092300147,0.06387340799999998,39920880,39920880,6
2,,,0.04647966444408521,0.9836,168.07383843800199,0.06387340799999998,39920880,39920880,6
3,,,0.03537469469974749,0.9888,167.33421137999903,0.06387340799999998,39920880,39920880,6
4,,,0.030488792643044143,0.9889,167.60762453899952,0.06387340799999998,39920880,39920880,6
5,,,0.030154887615004556,0.9908,166.61745426799826,0.06387340799999998,39920880,39920880,6
6,,,0.024036516031832433,0.9909,167.34852421699907,0.06387340799999998,39920880,39920880,6
7,,,0.02286007923517609,0.9918,166.54893454200283,0.06387340799999998,39920880,39920880,6
8,,,0.02094565214117174,0.9917,165.94313245199737,0.06387340799999998,39920880,39920880,6
9,,,0.020450461219716817,0.9927,166.43850310299968,0.06387340799999998,39920880,39920880,6
10,,,0.02005990342508303,0.9931,166.22829918099887,0.06387340799999998,39920880,39920880,6
