round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.0781200384259224,0.9761,169.42586879100054,0.06387340799999998,39920880,39920880,6
2,,,0.04647966444408521,0.9836,168.43160249599896,0.06387340799999998,39920880,39920880,6
3,,,0.03537469469974749,0.9888,168.03664890100117,0.06387340799999998,39920880,39920880,6
4,,,0.030488792643044143,0.9889,167.43208351299836,0.06387340799999998,39920880,39920880,6
5,,,0.030154887615004556,0.9908,166.00594851599817,0.06387340799999998,39920880,39920880,6
6,,,0.024036516031832433,0.9909,166.62841249900157,0.06387340799999998,39920880,39920880,6
7,,,0.02286007923517609,0.9918,167.012542501001,0.06387340799999998,39920880,39920880,6
8,,,0.02094565214117174,0.9917,165.6944693760015,0.06387340799999998,39920880,39920880,6
9,,,0.020450461219716817,0.9927,167.07696366899836,0.06387340799999998,39920880,39920880,6
10,,,0.02005990342508303,0.9931,166.8635464129984,0.06387340799999998,39920880,39920880,6
