round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07322055285032839,0.9789,,0.0,39920880,39920880,6
2,,,0.04042456095668021,0.9859,,0.0,39920880,39920880,6
3,,,0.030554716252617072,0.9897,,0.0,39920880,39920880,6
4,,,0.02826750500439084,0.9905,,0.0,39920880,39920880,6
5,,,0.025690140418580268,0.9914,,0.0,39920880,39920880,6
6,,,0.024000327382769318,0.9918,,0.0,39920880,39920880,6
7,,,0.021993653247300245,0.9916,,0.0,39920880,39920880,6
8,,,0.022496209622260357,0.9917,,0.0,39920880,39920880,6
9,,,0.02173488200834254,0.9923,,0.0,39920880,39920880,6
10,,,0.02182011078679934,0.9926,,0.0,39920880,39920880,6
