round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.08393863094598054,0.9735,170.84684472299887,0.06387340799999998,39920880,39920880,6
2,,,0.04785162537703291,0.9842,171.31137781699908,0.06387340799999998,39920880,39920880,6
3,,,0.03657060340717435,0.9868,171.84919416199955,0.06387340799999998,39920880,39920880,6
4,,,0.03178096823142842,0.9893,172.11199194099936,0.06387340799999998,39920880,39920880,6
5,,,0.027863070252770558,0.99,171.9754810049999,0.06387340799999998,39920880,39920880,6
6,,,0.025259328381717204,0.9912,172.01720956099962,0.06387340799999998,39920880,39920880,6
7,,,0.022814295386057348,0.9917,172.1299110029995,0.06387340799999998,39920880,39920880,6
8,,,0.02153440776176285,0.9924,171.82927547200052,0.06387340799999998,39920880,39920880,6
9,,,0.022887716365768574,0.9919,172.0659422030003,0.06387340799999998,39920880,39920880,6
10,,,0.020956594027933897,0.9928,171.90243104799993,0.06387340799999998,39920880,39920880,6
