round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7789449003219604,0.3874,140.42110079999838,0.022511999999999994,14070000,14070000,6
2,,,1.503164744567871,0.4523,139.37232907699945,0.022511999999999994,14070000,14070000,6
3,,,1.370821770477295,0.5145,140.36825254499854,0.022511999999999994,14070000,14070000,6
4,,,1.2830695867538453,0.5465,139.64178991300287,0.022511999999999994,14070000,14070000,6
5,,,1.2166607509613037,0.5639,139.35683039599826,0.022511999999999994,14070000,14070000,6
6,,,1.1206462038040161,0.6008,139.67732714500016,0.022511999999999994,14070000,14070000,6
7,,,1.058843100643158,0.627,139.2851429910006,0.022511999999999994,14070000,14070000,6
8,,,1.0015689737319946,0.6535,139.20037543999933,0.022511999999999994,14070000,14070000,6
9,,,0.9554386012077332,0.6745,139.2522077189933,0.022511999999999994,14070000,14070000,6
10,,,0.9334615070343018,0.6784,139.35831005100044,0.022511999999999994,14070000,14070000,6
