round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7475659622192383,0.3779,139.19216425599734,0.022511999999999994,14070000,14070000,6
2,,,1.5103340440750121,0.455,137.32166300000245,0.022511999999999994,14070000,14070000,6
3,,,1.3797784938812256,0.4954,137.24080900200352,0.022511999999999994,14070000,14070000,6
4,,,1.2877965978622437,0.5427,137.32592051599931,0.022511999999999994,14070000,14070000,6
5,,,1.1920386684417725,0.571,137.2447008329982,0.022511999999999994,14070000,14070000,6
6,,,1.1026899028778077,0.6167,137.08281003499724,0.022511999999999994,14070000,14070000,6
7,,,1.0476292762756347,0.6282,137.36911659799807,0.022511999999999994,14070000,14070000,6
8,,,0.9994963160514831,0.6539,135.75490074700065,0.022511999999999994,14070000,14070000,6
9,,,0.9621368079185486,0.667,132.9485617790051,0.022511999999999994,14070000,14070000,6
10,,,0.9214191975593566,0.6825,132.30648658599966,0.022511999999999994,14070000,14070000,6
