round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7564657430648805,0.3839,138.12708614599978,0.022511999999999994,14070000,14070000,6
2,,,1.5135770580291747,0.4619,136.4700190479998,0.022511999999999994,14070000,14070000,6
3,,,1.3696615196228028,0.507,136.31926330900023,0.022511999999999994,14070000,14070000,6
4,,,1.2986851140975952,0.5349,135.58204926500184,0.022511999999999994,14070000,14070000,6
5,,,1.1756496057510375,0.5816,133.68844267100212,0.022511999999999994,14070000,14070000,6
6,,,1.1124665307998658,0.5976,134.55576165800449,0.022511999999999994,14070000,14070000,6
7,,,1.066171335887909,0.6275,134.1222629180047,0.022511999999999994,14070000,14070000,6
8,,,0.9985991546630859,0.6507,134.05949667499954,0.022511999999999994,14070000,14070000,6
9,,,0.9438393543243409,0.6715,133.08171188700362,0.022511999999999994,14070000,14070000,6
10,,,0.9091148681640625,0.6836,132.32572929000162,0.022511999999999994,14070000,14070000,6
