round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.0796903977572918,0.976,166.317157296,0.06387340799999998,39920880,39920880,6
2,,,0.04779601431400515,0.9829,165.5887894410007,0.06387340799999998,39920880,39920880,6
3,,,0.037021059809438886,0.9878,167.1422232570003,0.06387340799999998,39920880,39920880,6
4,,,0.031044585777935573,0.9898,166.707138441001,0.06387340799999998,39920880,39920880,6
5,,,0.028611048350739292,0.9896,167.19067140299921,0.06387340799999998,39920880,39920880,6
6,,,0.024346767504978925,0.9916,166.9678046279987,0.06387340799999998,39920880,39920880,6
7,,,0.023003873767715413,0.9917,166.7791107789999,0.06387340799999998,39920880,39920880,6
8,,,0.021657776632357854,0.992,165.97159026999907,0.06387340799999998,39920880,39920880,6
9,,,0.022185481167963008,0.9926,166.38762225899882,0.06387340799999998,39920880,39920880,6
10,,,0.0200559113366995,0.9935,165.89641357000073,0.06387340799999998,39920880,39920880,6
