round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07659684972427785,0.977,,0.0,,,6
2,,,0.042927760114963166,0.9857,,0.0,,,6
3,,,0.03393635919676162,0.9892,,0.0,,,6
4,,,0.028438381670496893,0.9907,,0.0,,,6
5,,,0.02496596204530506,0.9914,,0.0,,,6
6,,,0.02351214023909124,0.9918,,0.0,,,6
7,,,0.022098658409026393,0.9919,,0.0,,,6
8,,,0.021523987764596676,0.9922,,0.0,,,6
9,,,0.021397949725744183,0.9925,,0.0,,,6
10,,,0.020350324036757957,0.9927,,0.0,,,6
