round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,0.3936321332413703,,0.07845918315332383,0.975,,,,,6
2,0.09932823164885243,,0.04648177587594837,0.9841,,,,,6
3,0.07110166074554436,,0.03642801223943243,0.9865,,,,,6
4,0.05635674319040651,,0.02932491072905832,0.9898,,,,,6
5,0.0478519238599576,,0.026962552641064393,0.9906,,,,,6
6,0.03986182037873659,,0.02602386453694198,0.9908,,,,,6
7,0.03553650023621934,,0.02312239817120717,0.9918,,,,,6
8,0.030734589511319063,,0.021976804906895263,0.9929,,,,,6
9,0.026880588809824742,,0.020590175072621786,0.9932,,,,,6
10,0.024441446636252414,,0.019943727418822527,0.9924,,,,,6
