round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07483434985578061,0.9761,168.15101964800124,0.06387340799999998,39920880,39920880,6
2,,,0.04736793736908585,0.9848,165.98349916400002,0.06387340799999998,39920880,39920880,6
3,,,0.03484690763419494,0.9884,166.85091762699994,0.06387340799999998,39920880,39920880,6
4,,,0.03063908002320677,0.9893,167.98871992299973,0.06387340799999998,39920880,39920880,6
5,,,0.02867143615586683,0.9904,167.30815536499904,0.06387340799999998,39920880,39920880,6
6,,,0.025227293685497715,0.9916,167.19456684500074,0.06387340799999998,39920880,39920880,6
7,,,0.02635050897630863,0.9908,166.85724364599992,0.06387340799999998,39920880,39920880,6
8,,,0.02325650997988414,0.9917,167.43258717999925,0.06387340799999998,39920880,39920880,6
9,,,0.02327011209365446,0.9917,165.2161997509993,0.06387340799999998,39920880,39920880,6
10,,,0.02196600911380956,0.9922,165.5238061480013,0.06387340799999998,39920880,39920880,6
